Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Number of Identified Bugs,Number of identified buggy files,Hit@10,Number of hits@10
Filtering,All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,80,130,0.7625,61
Filtering,All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,4,80,130,0.775,62
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,2,80,129,0.8,64
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,80,130,0.7625,61
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,4,80,131,0.775,62
Filtering,GUI_States,NO,GUI_State_and_All_GUI_Component_IDs,None,2,32,33,0.4,32
Filtering,GUI_States,NO,GUI_State_and_All_GUI_Component_IDs,None,3,34,35,0.425,34
Filtering,GUI_States,NO,GUI_State_and_All_GUI_Component_IDs,None,4,36,38,0.45,36
Filtering,Interacted_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,2,18,18,0.2,16
Filtering,Interacted_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,3,33,43,0.375,30
Filtering,Interacted_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,4,36,46,0.4,32
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,2,37,38,0.4375,35
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,3,50,62,0.5875,47
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,4,52,65,0.5875,47
Filtering,All_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,2,80,129,0.7875,63
Filtering,All_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,3,80,130,0.7625,61
Filtering,All_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,4,80,130,0.75,60
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,2,80,129,0.7875,63
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,3,80,130,0.7625,61
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,4,80,131,0.75,60
Filtering,GUI_States,NO,None,GUI_States,2,32,33,0.4,32
Filtering,GUI_States,NO,None,GUI_States,3,34,35,0.425,34
Filtering,GUI_States,NO,None,GUI_States,4,36,38,0.45,36
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_States,2,16,16,0.1875,15
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_States,3,25,32,0.2875,23
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_States,4,28,35,0.3125,25
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_States,2,35,36,0.4125,33
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_States,3,42,51,0.4875,39
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_States,4,44,54,0.5,40
Filtering,All_GUI_Component_IDs,NO,None,GUI_States,2,67,111,0.4625,37
Filtering,All_GUI_Component_IDs,NO,None,GUI_States,3,67,112,0.4375,35
Filtering,All_GUI_Component_IDs,NO,None,GUI_States,4,67,112,0.4375,35
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_States,2,67,111,0.4625,37
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_States,3,67,112,0.4375,35
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_States,4,67,113,0.4375,35
Filtering,GUI_States,NO,None,Interacted_GUI_Component_IDs,2,23,23,0.2875,23
Filtering,GUI_States,NO,None,Interacted_GUI_Component_IDs,3,32,33,0.4,32
Filtering,GUI_States,NO,None,Interacted_GUI_Component_IDs,4,35,37,0.4375,35
Filtering,Interacted_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,2,18,18,0.1625,13
Filtering,Interacted_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,3,33,43,0.35,28
Filtering,Interacted_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,4,36,46,0.375,30
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,2,28,28,0.2875,23
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,3,48,60,0.5375,43
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,4,51,64,0.5625,45
Filtering,All_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,2,57,90,0.3,24
Filtering,All_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,3,72,120,0.4875,39
Filtering,All_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,4,77,127,0.5,40
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,2,57,90,0.3,24
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,3,72,120,0.4875,39
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,Interacted_GUI_Component_IDs,4,77,128,0.5125,41
Filtering,GUI_States,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,2,32,33,0.4,32
Filtering,GUI_States,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,3,34,35,0.425,34
Filtering,GUI_States,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,4,36,38,0.45,36
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,2,18,18,0.1875,15
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,3,33,43,0.375,30
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,4,36,46,0.4,32
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,2,37,38,0.425,34
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,3,50,62,0.5875,47
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,4,52,65,0.5875,47
Filtering,All_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,2,77,126,0.5375,43
Filtering,All_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,3,79,129,0.6125,49
Filtering,All_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,4,80,130,0.65,52
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,2,77,126,0.5375,43
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,3,79,129,0.6125,49
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_State_and_Interacted_GUI_Component_IDs,4,80,131,0.65,52
Filtering,GUI_States,NO,None,All_GUI_Component_IDs,2,32,33,0.4,32
Filtering,GUI_States,NO,None,All_GUI_Component_IDs,3,34,35,0.425,34
Filtering,GUI_States,NO,None,All_GUI_Component_IDs,4,36,38,0.45,36
Filtering,Interacted_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,2,18,18,0.1875,15
Filtering,Interacted_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,3,33,43,0.3625,29
Filtering,Interacted_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,4,36,46,0.3875,31
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,2,37,38,0.425,34
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,3,50,62,0.575,46
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,4,52,65,0.5875,47
Filtering,All_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,2,80,129,0.7125,57
Filtering,All_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,3,80,130,0.725,58
Filtering,All_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,4,80,130,0.675,54
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,2,80,129,0.7125,57
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,3,80,130,0.725,58
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,4,80,131,0.675,54
Filtering,GUI_States,NO,None,GUI_State_and_All_GUI_Component_IDs,2,32,33,0.4,32
Filtering,GUI_States,NO,None,GUI_State_and_All_GUI_Component_IDs,3,34,35,0.425,34
Filtering,GUI_States,NO,None,GUI_State_and_All_GUI_Component_IDs,4,36,38,0.45,36
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,2,18,18,0.2,16
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,3,33,43,0.3625,29
Filtering,Interacted_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,4,36,46,0.3875,31
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,2,37,38,0.4375,35
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,3,50,62,0.575,46
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,4,52,65,0.5875,47
Filtering,All_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,2,80,129,0.7375,59
Filtering,All_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,3,80,130,0.7625,61
Filtering,All_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,4,80,130,0.7125,57
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,2,80,129,0.7375,59
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,3,80,130,0.7625,61
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,4,80,131,0.7125,57
Boosting,NO,GUI_States,None,None,2,80,142,0.775,62
Boosting,NO,GUI_States,None,None,3,80,142,0.775,62
Boosting,NO,GUI_States,None,None,4,80,142,0.7875,63
Boosting,NO,Interacted_GUI_Component_IDs,None,None,2,80,142,0.6875,55
Boosting,NO,Interacted_GUI_Component_IDs,None,None,3,80,142,0.7125,57
Boosting,NO,Interacted_GUI_Component_IDs,None,None,4,80,142,0.7,56
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,None,2,80,142,0.75,60
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,None,3,80,142,0.775,62
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,None,4,80,142,0.7625,61
Boosting,NO,All_GUI_Component_IDs,None,None,2,80,142,0.7,56
Boosting,NO,All_GUI_Component_IDs,None,None,3,80,142,0.7,56
Boosting,NO,All_GUI_Component_IDs,None,None,4,80,142,0.7,56
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,None,None,2,80,142,0.7,56
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,None,None,3,80,142,0.7,56
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,None,None,4,80,142,0.7,56
Boosting,NO,GUI_States,GUI_States,None,2,80,142,0.7625,61
Boosting,NO,GUI_States,GUI_States,None,3,80,142,0.7625,61
Boosting,NO,GUI_States,GUI_States,None,4,80,142,0.775,62
Boosting,NO,Interacted_GUI_Component_IDs,GUI_States,None,2,80,142,0.7,56
Boosting,NO,Interacted_GUI_Component_IDs,GUI_States,None,3,80,142,0.725,58
Boosting,NO,Interacted_GUI_Component_IDs,GUI_States,None,4,80,142,0.7125,57
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,GUI_States,None,2,80,142,0.75,60
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,GUI_States,None,3,80,142,0.7625,61
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,GUI_States,None,4,80,142,0.7625,61
Boosting,NO,All_GUI_Component_IDs,GUI_States,None,2,80,142,0.7375,59
Boosting,NO,All_GUI_Component_IDs,GUI_States,None,3,80,142,0.7375,59
Boosting,NO,All_GUI_Component_IDs,GUI_States,None,4,80,142,0.725,58
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,GUI_States,None,2,80,142,0.7375,59
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,GUI_States,None,3,80,142,0.7375,59
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,GUI_States,None,4,80,142,0.725,58
Boosting,NO,GUI_States,Interacted_GUI_Component_IDs,None,2,80,142,0.7625,61
Boosting,NO,GUI_States,Interacted_GUI_Component_IDs,None,3,80,142,0.7625,61
Boosting,NO,GUI_States,Interacted_GUI_Component_IDs,None,4,80,142,0.775,62
Boosting,NO,Interacted_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,2,80,142,0.7,56
Boosting,NO,Interacted_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,3,80,142,0.7375,59
Boosting,NO,Interacted_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,4,80,142,0.7125,57
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,2,80,142,0.75,60
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,3,80,142,0.775,62
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,4,80,142,0.7625,61
Boosting,NO,All_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,2,80,142,0.725,58
Boosting,NO,All_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,3,80,142,0.725,58
Boosting,NO,All_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,4,80,142,0.725,58
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,2,80,142,0.725,58
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,3,80,142,0.725,58
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,Interacted_GUI_Component_IDs,None,4,80,142,0.725,58
Boosting,NO,GUI_States,GUI_State_and_Interacted_GUI_Component_IDs,None,2,80,142,0.775,62
Boosting,NO,GUI_States,GUI_State_and_Interacted_GUI_Component_IDs,None,3,80,142,0.775,62
Boosting,NO,GUI_States,GUI_State_and_Interacted_GUI_Component_IDs,None,4,80,142,0.775,62
Boosting,NO,Interacted_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,2,80,142,0.7,56
Boosting,NO,Interacted_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,3,80,142,0.725,58
Boosting,NO,Interacted_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,4,80,142,0.7,56
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,2,80,142,0.75,60
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,3,80,142,0.7625,61
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,4,80,142,0.7625,61
Boosting,NO,All_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,2,80,142,0.725,58
Boosting,NO,All_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,3,80,142,0.7375,59
Boosting,NO,All_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,4,80,142,0.725,58
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,2,80,142,0.725,58
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,3,80,142,0.7375,59
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,4,80,142,0.725,58
Boosting,NO,GUI_States,All_GUI_Component_IDs,None,2,80,142,0.8,64
Boosting,NO,GUI_States,All_GUI_Component_IDs,None,3,80,142,0.7875,63
Boosting,NO,GUI_States,All_GUI_Component_IDs,None,4,80,142,0.7875,63
Boosting,NO,Interacted_GUI_Component_IDs,All_GUI_Component_IDs,None,2,80,142,0.7375,59
Boosting,NO,Interacted_GUI_Component_IDs,All_GUI_Component_IDs,None,3,80,142,0.75,60
Boosting,NO,Interacted_GUI_Component_IDs,All_GUI_Component_IDs,None,4,80,142,0.7375,59
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,All_GUI_Component_IDs,None,2,80,142,0.775,62
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,All_GUI_Component_IDs,None,3,80,142,0.7875,63
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,All_GUI_Component_IDs,None,4,80,142,0.7625,61
Boosting,NO,All_GUI_Component_IDs,All_GUI_Component_IDs,None,2,80,142,0.8,64
Boosting,NO,All_GUI_Component_IDs,All_GUI_Component_IDs,None,3,80,142,0.7625,61
Boosting,NO,All_GUI_Component_IDs,All_GUI_Component_IDs,None,4,80,142,0.775,62
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,All_GUI_Component_IDs,None,2,80,142,0.8,64
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,All_GUI_Component_IDs,None,3,80,142,0.7625,61
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,All_GUI_Component_IDs,None,4,80,142,0.775,62
Boosting,NO,GUI_States,GUI_State_and_All_GUI_Component_IDs,None,2,80,142,0.7875,63
Boosting,NO,GUI_States,GUI_State_and_All_GUI_Component_IDs,None,3,80,142,0.7875,63
Boosting,NO,GUI_States,GUI_State_and_All_GUI_Component_IDs,None,4,80,142,0.7875,63
Boosting,NO,Interacted_GUI_Component_IDs,GUI_State_and_All_GUI_Component_IDs,None,2,80,142,0.7375,59
Boosting,NO,Interacted_GUI_Component_IDs,GUI_State_and_All_GUI_Component_IDs,None,3,80,142,0.75,60
Boosting,NO,Interacted_GUI_Component_IDs,GUI_State_and_All_GUI_Component_IDs,None,4,80,142,0.7375,59
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,GUI_State_and_All_GUI_Component_IDs,None,2,80,142,0.775,62
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,GUI_State_and_All_GUI_Component_IDs,None,3,80,142,0.7875,63
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,GUI_State_and_All_GUI_Component_IDs,None,4,80,142,0.7625,61
Boosting,NO,All_GUI_Component_IDs,GUI_State_and_All_GUI_Component_IDs,None,2,80,142,0.7875,63
Boosting,NO,All_GUI_Component_IDs,GUI_State_and_All_GUI_Component_IDs,None,3,80,142,0.7625,61
Boosting,NO,All_GUI_Component_IDs,GUI_State_and_All_GUI_Component_IDs,None,4,80,142,0.75,60
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,GUI_State_and_All_GUI_Component_IDs,None,2,80,142,0.7875,63
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,GUI_State_and_All_GUI_Component_IDs,None,3,80,142,0.7625,61
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,GUI_State_and_All_GUI_Component_IDs,None,4,80,142,0.75,60
Boosting,NO,GUI_States,None,GUI_States,2,67,121,0.5,40
Boosting,NO,GUI_States,None,GUI_States,3,67,121,0.5125,41
Boosting,NO,GUI_States,None,GUI_States,4,67,121,0.5375,43
Boosting,NO,Interacted_GUI_Component_IDs,None,GUI_States,2,67,121,0.425,34
Boosting,NO,Interacted_GUI_Component_IDs,None,GUI_States,3,67,121,0.5,40
Boosting,NO,Interacted_GUI_Component_IDs,None,GUI_States,4,67,121,0.5125,41
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,GUI_States,2,67,121,0.5125,41
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,GUI_States,3,67,121,0.5625,45
